CustomerID,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus
3369418,No,14.16,37.0,10.0,0.0,0.0,0.2,-10.0,-0.2,0.7,0.7,3.0,0.0,0.0,0.0,2.0,0.0,14.3,6.0,1.3,0.0,0.0,10,2,2,DETTOL419,1.0,1.0,299.0,54.0,52.0,No,Yes,Yes,No,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,6,No,0,Unknown,No,2-High,Suburban,Other,Yes
3303170,No,12.96,657.0,10.0,0.25,8.0,0.0,413.0,7.9,7.7,0.7,157.0,0.0,0.3,74.9,29.3,2.0,106.7,157.7,8.3,0.0,0.0,14,3,3,NYCNEW201,2.0,1.0,324.0,36.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,6,No,0,130,No,3-Good,Other,Other,No
3268278,Yes,55.86,1050.0,45.0,0.25,48.0,0.0,-94.0,39.8,9.7,1.3,103.0,3.7,0.0,75.1,67.3,6.3,63.3,114.0,11.0,0.0,0.0,13,1,1,NYCBRO917,2.0,2.0,40.0,0.0,0.0,No,Yes,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,150,No,2-High,Suburban,Other,Unknown
3209826,No,37.19,136.0,30.0,1.24,16.0,0.0,-19.0,-7.2,4.7,0.0,3.0,2.0,0.0,3.4,24.0,3.0,55.3,25.3,4.7,0.0,0.0,12,1,1,NYCBRO917,1.0,1.0,371.0,48.0,0.0,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,0,0,Yes,No,0,6,No,0,Unknown,No,5-Low,Other,Other,Unknown
3117366,Yes,60.76,513.0,60.0,6.43,1.0,2.1,-211.0,5.9,17.3,3.3,44.7,0.0,0.0,69.9,60.3,19.7,124.0,64.0,20.7,0.0,1.7,19,1,1,PHIPHI215,1.0,1.0,575.0,0.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,1,7,No,0,Unknown,No,6-VeryLow,Other,Other,Unknown
3129650,Yes,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,1,MILMAD608,1.0,1.0,626.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,3-Good,Other,Other,Unknown
3013210,No,26.2,90.0,17.0,0.74,0.0,4.5,24.0,11.7,2.3,0.7,5.3,0.0,0.0,0.0,0.3,0.0,17.3,13.3,3.0,0.0,0.0,38,3,3,BOSBOS617,1.0,1.0,1141.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,Yes,0,0,No,0,Unknown,No,6-VeryLow,Other,Other,Unknown
3097070,No,99.84,1550.0,85.0,13.61,34.0,2.0,-802.0,-8.5,17.3,12.0,65.3,0.0,0.0,232.9,179.7,29.7,283.0,221.0,29.3,0.0,7.0,21,1,1,SANSAN210,2.0,2.0,390.0,56.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,Yes,No,0,7,No,0,30,No,4-Medium,Suburban,Other,Unknown
3037578,No,50.73,531.0,50.0,0.0,0.0,0.0,1.0,0.7,12.3,9.7,29.3,0.0,0.0,186.0,19.0,4.3,143.0,62.3,22.0,0.0,1.0,31,2,1,MIADFD954,5.0,3.0,547.0,94.0,84.0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,Yes,0,2,No,0,10,No,3-Good,Other,Other,Yes
3210346,No,35.3,307.0,45.0,0.0,0.0,0.0,-265.0,-0.3,4.0,0.7,15.3,0.0,0.0,53.4,7.0,1.3,62.0,45.0,4.7,0.0,0.3,12,1,1,DETDET313,2.0,2.0,172.0,44.0,66.0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,2,No,0,130,No,2-High,Suburban,Other,No
