CustomerID,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus
3317770,No,39.79,234.0,55.0,0.25,0.0,1.7,31.0,8.8,6.7,0.7,10.3,0.0,0.0,59.4,18.0,4.7,54.0,24.0,7.3,0.0,0.0,7,2,1,LAXSAN714,1.0,1.0,211.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,2-High,Suburban,Other,Unknown
3224894,No,60.19,551.0,60.0,0.74,0.0,0.3,-88.0,-10.2,2.7,32.7,68.7,0.0,0.3,76.3,15.7,0.3,146.3,95.7,35.3,0.0,1.0,11,1,1,CHIDAV319,2.0,1.0,122.0,30.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,7,No,0,150,No,2-High,Suburban,Crafts,Yes
3231266,No,85.41,642.0,28.0,0.25,134.0,0.0,129.0,22.8,29.7,0.0,0.0,4.3,0.0,157.2,52.3,33.7,39.3,96.3,31.0,0.0,2.0,13,1,1,NYCSUF516,1.0,1.0,393.0,44.0,42.0,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,4,No,0,Unknown,No,2-High,Suburban,Crafts,No
3184922,Yes,30.18,281.0,30.0,0.0,0.0,0.0,132.0,-0.2,4.0,0.0,15.3,5.3,0.0,55.7,8.3,3.7,41.3,41.7,4.7,0.0,0.0,20,2,2,NYCWHI914,2.0,1.0,465.0,0.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0,0,No,No,0,3,No,0,150,No,3-Good,Suburban,Other,Unknown
3350054,Yes,179.29,1459.0,95.0,0.5,118.0,48.6,-1360.0,-77.0,21.7,11.0,103.0,0.0,0.7,277.4,23.3,0.7,217.3,86.7,32.7,0.0,3.3,12,1,1,HARSPR413,1.0,1.0,349.0,42.0,78.0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0,0,No,No,0,4,No,0,Unknown,No,3-Good,Rural,Other,Unknown
3087226,Yes,50.0,403.0,50.0,0.0,0.0,0.0,-8.0,0.0,6.7,2.0,22.7,0.0,0.0,136.4,14.3,2.3,111.7,14.3,8.7,0.0,1.3,26,1,1,DALFTW817,3.0,2.0,459.0,48.0,54.0,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,1,1,No,No,0,1,No,0,130,Yes,2-High,Rural,Other,Yes
3310630,Yes,89.73,416.0,95.0,0.74,0.0,0.0,-108.0,-0.7,10.0,11.0,39.3,0.0,0.3,63.9,59.7,15.3,108.7,144.0,21.0,0.0,1.7,11,2,2,SANAUS512,1.0,1.0,326.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,Unknown,No,3-Good,Other,Other,Unknown
3212922,Yes,141.45,654.0,20.0,0.0,344.0,0.0,46.0,-92.3,5.0,5.7,44.0,0.0,0.0,138.0,26.7,5.7,98.0,55.3,10.7,0.0,1.0,18,2,2,MIAMIA305,3.0,3.0,32.0,34.0,0.0,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,Yes,0,2,No,0,10,No,4-Medium,Other,Other,No
3070694,No,62.85,524.0,50.0,0.25,0.0,0.0,159.0,6.3,4.7,0.0,5.0,0.0,0.0,72.5,26.3,4.0,146.7,78.7,4.7,0.0,0.0,23,1,1,NYCBRO917,2.0,1.0,321.0,60.0,54.0,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0,0,No,No,0,2,No,0,30,No,3-Good,Other,Other,Yes
3041538,No,45.59,307.0,30.0,0.5,38.0,0.0,55.0,4.8,1.7,6.7,12.3,0.0,0.0,93.2,14.0,0.7,67.7,46.7,8.3,0.0,0.7,34,1,1,CHILAG630,3.0,2.0,276.0,46.0,48.0,Yes,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0,0,No,No,0,5,No,0,80,No,3-Good,Suburban,Professional,Yes
3153790,Yes,127.47,596.0,33.0,3.3,35.0,78.6,,,17.3,0.7,47.0,1.7,0.3,50.4,26.3,1.0,57.0,37.3,18.0,0.0,0.0,19,1,1,MILWAU262,1.0,1.0,566.0,22.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,2,No,0,Unknown,No,7-Lowest,Other,Other,No
3046146,No,27.79,29.0,33.0,0.0,11.0,0.0,47.0,9.0,0.3,0.0,2.3,0.0,0.0,0.4,0.0,0.0,1.0,3.0,0.3,0.0,0.0,33,1,1,NYCBRO917,2.0,2.0,45.0,42.0,54.0,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,1,0,No,No,0,6,No,0,30,Yes,1-Highest,Other,Other,Yes
3250266,No,38.41,354.0,40.0,0.99,20.0,0.3,68.0,15.8,4.0,7.3,23.3,5.3,2.0,22.3,31.3,3.0,67.7,37.3,11.3,0.0,0.0,14,2,2,NCRRIC804,1.0,1.0,413.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,Yes,No,No,Yes,0,0,No,No,0,0,No,0,Unknown,No,2-High,Rural,Other,Unknown
3197894,No,86.23,816.0,50.0,0.74,114.0,0.0,-299.0,-44.3,7.0,0.3,38.0,0.0,0.3,162.6,31.3,0.0,184.7,107.3,7.3,0.0,3.3,17,1,1,PHICTR610,2.0,2.0,137.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0,0,No,No,0,0,No,0,150,No,4-Medium,Other,Other,Unknown
